,length,L/16,L/8,L/4,L/2,neigh_count,size,stickness
0,0.9,0.8757396449704142,0.8128,0.542,0.1845,7.0,100.0,0.049787068367863944
1,1.145,0.6923076923076923,0.616,0.5056,0.3001,5.0,100.0,0.20650940532166384
2,1.68,0.621301775147929,0.5872,0.4948,0.3543,4.0,100.0,0.36323174227546373
3,1.945,0.4970414201183432,0.472,0.4,0.3728,3.0,100.0,0.5199540792292636
4,1.985,0.5443786982248521,0.4016,0.3784,0.3746,3.0,100.0,0.6766764161830635
5,0.25833333333333336,0.7991234477720964,0.32,0.08,0.02,8.0,300.0,0.049787068367863944
6,0.385,0.635500365230095,0.408,0.13044444444444445,0.03261111111111111,5.0,300.0,0.20650940532166384
7,0.55,0.5186267348429511,0.4039111111111111,0.15973333333333334,0.039933333333333335,3.0,300.0,0.36323174227546373
8,0.5683333333333334,0.4185536888239591,0.32195555555555555,0.17671111111111112,0.04501111111111111,2.5,300.0,0.5199540792292636
9,0.6616666666666666,0.38130021913805695,0.3223111111111111,0.19013333333333332,0.0492,3.0,300.0,0.6766764161830635
10,0.167,0.43386243386243384,0.113536,0.028384,0.007096,7.0,500.0,0.049787068367863944
11,0.286,0.47266313932980597,0.189952,0.047488,0.011872,4.0,500.0,0.20650940532166384
12,0.302,0.399344923154447,0.225664,0.057424,0.014356,3.0,500.0,0.36323174227546373
13,0.367,0.37389770723104054,0.23936,0.0648,0.0162,2.0,500.0,0.5199540792292636
14,0.4,0.3350970017636684,0.2352,0.070288,0.017572,2.0,500.0,0.6766764161830635
